FileSizeMB,BlockSizeMB,ThroughputMBs,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,CPU9,CPU10,CPU11
3000,1048576,2.34883338926166601368e+02,8.93416927899686541537e+00,9.74643423137876396822e+00,8.79556259904912884906e+00,7.34375000000000000000e+00,1.36792452830188668855e+01,3.27639751552795033263e+01,1.40711462450592872386e+01,1.56985871271585555320e+01,1.65880503144654092296e+01,6.78768745067087664324e+00,1.12068965517241387886e+01,1.58061953931691814290e+01
3000,1048576,2.57954499921667832041e+02,1.54305200341005974707e+01,4.64716006884681576139e+00,9.33448573898012057271e+00,1.35461604831751518674e+01,1.68240343347639473848e+01,2.59036144578313241027e+01,6.39585133967156416190e+00,8.18102697998259387191e+00,1.63652024117140371118e+01,1.25000000000000000000e+01,1.68831168831168838551e+01,1.32352941176470597640e+01
3000,1048576,2.99648063349595872751e+02,1.00297914597815296389e+01,7.79999999999999982236e+00,9.56696878147029217132e+00,1.15346038114343034664e+01,1.98801198801198815147e+01,2.78000000000000042633e+01,1.14457831325301206959e+01,1.01419878296146048768e+01,1.09000000000000003553e+01,1.21730382293762584567e+01,8.47457627118643941344e+00,2.36068895643363738657e+01
3000,1048576,2.71518914822163253575e+02,1.31221719457013588084e+01,4.80072463768115920146e+00,1.61870503597122308292e+01,9.54545454545454674644e+00,1.07078039927404731202e+01,3.36936936936936959341e+01,6.98096101541251101708e+00,9.90909090909090828347e+00,1.50000000000000000000e+01,1.83897529734675231339e+01,8.63309352517985573172e+00,1.63191296464188582149e+01
3000,1048576,2.90172355608543171002e+02,9.92292870905587598429e+00,1.01941747572815533118e+01,2.01754385964912259510e+01,2.05078125000000000000e+01,9.59843290891283018595e+00,1.69441723800195909178e+01,1.09390125847047432472e+01,8.40664711632453531820e+00,1.21241513094083419588e+01,1.50778210116731514745e+01,1.65530671859785805111e+01,1.20388349514563106624e+01
3000,1048576,2.67584278567364492574e+02,1.53571428571428576504e+01,1.09318996415770612884e+01,8.84476534296028837900e+00,1.21076233183856505349e+01,2.34137622877569242519e+01,1.56862745098039209068e+01,1.31294964028776970366e+01,8.20695807314897507467e+00,1.90647482014388494065e+01,1.40287769784172642318e+01,1.31768953068592065136e+01,9.91957104557640789722e+00
3000,1048576,3.10150609135796344162e+02,1.09856262833675568658e+01,1.58498435870698646255e+01,1.44628099173553703594e+01,1.23966942148760335130e+01,1.55440414507772022290e+01,2.41836734693877559721e+01,4.35684647302904526356e+00,1.03950103950103951433e+01,1.51609553478712353325e+01,2.00211864406779653791e+01,1.66320166320166329399e+01,8.31600831600831646995e+00
3000,1048576,2.92642956084047057175e+02,1.48219441770933606506e+01,1.42857142857142846992e+01,1.03346456692913388764e+01,9.17968750000000000000e+00,1.60908193484698927023e+01,1.34765625000000000000e+01,1.03718199608610568418e+01,1.54832347140039452427e+01,1.87747035573122538210e+01,1.05882352941176467453e+01,1.22549019607843128199e+01,2.00389105058365757372e+01
3000,1048576,2.87150860447553327504e+02,1.70964660936007639691e+01,9.50570342205323193241e+00,1.07766990291262132473e+01,1.84261036468330132720e+01,1.30769230769230784261e+01,1.57292659675881800752e+01,1.09720885466794992880e+01,9.10834132310642452524e+00,1.55321188878235876274e+01,1.86960690316394995136e+01,1.59769008662175160396e+01,9.51923076923076827427e+00
3000,1048576,2.80100982006032836580e+02,2.55319148936170208231e+01,1.54418604651162780783e+01,9.18462980318650501488e+00,1.29277566539923949307e+01,1.19402985074626855067e+01,7.96626054358013124812e+00,1.89671361502347437522e+01,1.00093545369504219877e+01,1.16431924882629118656e+01,1.16760828625235397737e+01,1.72216936251189345342e+01,1.20640904806786046777e+01
3000,2097152,2.92616980953560698708e+02,2.09803921568627451677e+01,1.09696376101860924024e+01,1.50147203140333669324e+01,1.84494602551521076350e+01,1.34502923976608173007e+01,1.18279569892473119808e+01,6.43902439024390282896e+00,1.35874877810361667230e+01,1.21832358674463936410e+01,1.66830225711481858752e+01,1.66015625000000000000e+01,9.75609756097560953947e+00
3000,2097152,3.57646457416466887480e+02,1.27380952380952372494e+01,2.06937799043062184978e+01,1.07270560190703214687e+01,1.91980558930741196377e+01,1.19047619047619033239e+01,1.26050420168067223159e+01,1.66064981949458498889e+01,1.44578313253012034068e+01,1.60332541567695976426e+01,1.26811594202898554329e+01,1.12183353437876949243e+01,1.38888888888888892836e+01
3000,2097152,2.89102818550108906948e+02,1.02514506769825910482e+01,1.21647509578544052999e+01,1.54069767441860463464e+01,1.21241513094083419588e+01,1.24151309408341425922e+01,1.28970163618864290811e+01,1.16682738669238190710e+01,1.43269230769230766498e+01,1.02514506769825910482e+01,2.29571984435797666890e+01,1.90935390549662500348e+01,1.29377431906614805968e+01
3000,2097152,3.19128328628140707224e+02,1.34171907756813428847e+01,1.08649789029535863705e+01,1.41489361702127673937e+01,8.69565217391304301486e+00,1.40276301806588730159e+01,1.33547008547008552171e+01,9.74304068522483923687e+00,1.16204690831556511910e+01,1.91648822269807297403e+01,1.76093916755602997171e+01,1.47311827956989240818e+01,1.92513368983957207092e+01
3000,2097152,2.86329813003725746512e+02,1.27497621313035214285e+01,1.58501440922190202087e+01,1.24164278892072577065e+01,1.56695156695156683213e+01,1.50283553875236286501e+01,1.06666666666666678509e+01,1.22840690978886755147e+01,1.67307692307692299494e+01,1.41898370086289560277e+01,1.40939597315436238034e+01,1.64107485604606537777e+01,1.18934348239771647826e+01
3000,2097152,3.18027584440564055512e+02,1.35932560590094837494e+01,1.57007376185458369378e+01,1.16204690831556511910e+01,2.41452991452991447829e+01,1.25531914893617013718e+01,8.12236286919831229625e+00,5.01600853788687306434e+00,1.92102454642475990454e+01,1.26865671641791042390e+01,1.05769230769230766498e+01,1.64179104477611943480e+01,1.78609625668449218949e+01
3000,2097152,3.10934187255346614620e+02,1.62162162162162175605e+01,1.62330905306971899904e+01,1.50156412930135569894e+01,1.14583333333333321491e+01,1.54084798345398148456e+01,1.39293139293139294210e+01,8.48167539267015690996e+00,1.14016736401673650647e+01,1.69811320754716987835e+01,1.42414860681114561203e+01,1.31440588853838047356e+01,1.32154006243496358053e+01
3000,2097152,3.05733730379537860244e+02,1.56822810590631362970e+01,1.67006109979633379226e+01,1.86925434116445359223e+01,1.88583078491335385252e+01,1.09631147540983597821e+01,1.61356628982528249594e+01,1.07361963190184059869e+01,1.11111111111111107164e+01,1.07614213197969537106e+01,1.31632653061224491609e+01,1.03377686796315249040e+01,1.30879345603272003729e+01
3000,2097152,2.97536841259632126366e+02,1.05108055009823182502e+01,1.73611111111111107164e+01,1.22632103688933202790e+01,1.59362549800796813315e+01,1.07892107892107880218e+01,1.63509471585244270386e+01,1.18929633300297314946e+01,2.06861755802219988709e+01,1.76938369781312125895e+01,9.72222222222222320909e+00,1.13659022931206372675e+01,1.16947472745292362362e+01
3000,2097152,3.15157566176785735479e+02,1.60289555325749724091e+01,1.05759162303664915328e+01,1.00105374077976811975e+01,1.77966101694915259657e+01,1.39978791092258738615e+01,1.44973544973544967718e+01,1.19198312236286927401e+01,1.36743215031315230590e+01,1.44220572640509026030e+01,9.34873949579831986512e+00,1.87103594080338275774e+01,1.86119873817034715557e+01
3000,4194304,3.20354457257080298405e+02,1.59188034188034173155e+01,1.61670235546038547625e+01,1.76025917926565895755e+01,1.13733905579399134922e+01,8.09371671991480390318e+00,1.20171673819742483857e+01,1.25000000000000000000e+01,9.39167556029882533153e+00,1.67381974248927036797e+01,1.15834218916046758352e+01,1.86368477103301373177e+01,8.18965517241379359348e+00
3000,4194304,3.38386343810000141730e+02,1.37853107344632768161e+01,1.36924803591470247710e+01,1.05736782902137225193e+01,1.23442808607021525802e+01,1.01366742596810937016e+01,9.04977375565610842045e+00,1.14994363021420511473e+01,1.60409556313993171273e+01,1.86788154897494322881e+01,1.50513112884834647787e+01,1.43507972665148066937e+01,1.40589569160997740482e+01
3000,4194304,3.33937797851644575076e+02,1.59645232815964508433e+01,1.75811870100783878001e+01,2.21724524076147808671e+01,1.64062500000000000000e+01,1.02908277404921690845e+01,1.58305462653288735453e+01,1.22358175750834252682e+01,1.55829596412556057317e+01,1.38047138047138062689e+01,1.14478114478114481045e+01,1.08379888268156427955e+01,5.90200445434298437419e+00
3000,4194304,3.10505487408226201751e+02,1.44763860369609869139e+01,1.53686396677050893800e+01,1.40167364016736399890e+01,1.46845915201654602100e+01,1.14107883817427389062e+01,1.52083333333333321491e+01,1.12734864300626309586e+01,1.43749999999999982236e+01,1.87954309449636554064e+01,1.21875000000000000000e+01,1.50785340314136124817e+01,1.45245559038662488405e+01
3000,4194304,3.44957282214956933331e+02,1.73963133640552989334e+01,1.45518044237485462133e+01,1.26146788990825680088e+01,1.06481481481481488061e+01,9.03823870220162106648e+00,7.72779700115340251187e+00,1.16225546605293441615e+01,1.37485311398354870249e+01,1.43518518518518511939e+01,1.57110091743119273389e+01,1.57772621809744766352e+01,1.46620847651775498832e+01
3000,4194304,3.44757445898937817219e+02,1.30884041331802531971e+01,9.44700460829493060544e+00,1.95177956371986240924e+01,1.13793103448275871870e+01,1.10854503464203233420e+01,1.43021914648212238319e+01,7.62124711316397185357e+00,1.32794457274826775972e+01,1.62383177570093479858e+01,1.84421534936998874343e+01,1.62442396313364056937e+01,1.05868814729574225453e+01
3000,4194304,3.48533255881498689632e+02,1.13450292397660810195e+01,1.86761229314420802439e+01,1.29824561403508766944e+01,1.22685185185185190448e+01,7.43321718931475050596e+00,1.89314750290360045426e+01,1.24708624708624711275e+01,1.63337250293772022758e+01,1.05324074074074065521e+01,1.69570267131242751191e+01,6.96864111498257798871e+00,1.09941520467836255648e+01
3000,4194304,2.89545831920188788899e+02,1.62343900096061481975e+01,1.75048355899419725290e+01,1.19070667957405618154e+01,1.99226305609284324305e+01,2.59402121504339433500e+01,2.10731707317073180263e+01,1.51811949069539657842e+01,1.96116504854368933763e+01,1.77949709864603491383e+01,2.04878048780487809211e+01,1.37596899224806197282e+01,1.31021194605009636547e+01
3000,4194304,3.64802271696706327475e+02,1.07748184019370452091e+01,1.32281553398058253634e+01,1.10705596107055956878e+01,1.32029339853300733409e+01,2.25247524752475243304e+01,1.31449631449631461066e+01,1.13526570048309185523e+01,1.03532277710109621438e+01,1.69512195121951236843e+01,2.00000000000000000000e+01,1.18932038834951452344e+01,1.49693251533742319737e+01
3000,4194304,3.31768491946319841190e+02,1.39072847682119196122e+01,1.69811320754716987835e+01,1.10253583241455341835e+01,1.03524229074889859703e+01,1.84855233853006666322e+01,1.44766146993318489677e+01,1.31549609810479353200e+01,1.65745856353591136667e+01,1.31256952169076761550e+01,1.37513751375137527333e+01,1.11849390919158366842e+01,7.50551876379690874330e+00
3000,8388608,3.59076484009246939877e+02,1.66467065868263475181e+01,1.42340168878166473121e+01,1.53293413173652695036e+01,7.87589498806682541954e+00,1.06459330143540675806e+01,2.15757575757575743580e+01,1.43540669856459324194e+01,1.01326899879372742674e+01,1.12709832134292557981e+01,1.00840336134453778527e+01,9.92736077481840162307e+00,1.07655502392344502027e+01
3000,8388608,3.33898103425382714704e+02,1.26116071428571423496e+01,1.59192825112107616548e+01,1.47522522522522514521e+01,1.77060133630289513462e+01,1.27919911012235818504e+01,1.28205128205128193741e+01,9.06040268456375841311e+00,1.30726256983240229914e+01,1.26126126126126116844e+01,1.14955357142857135244e+01,7.96857463524130160692e+00,1.16926503340757239613e+01
3000,8388608,3.59034155038846904517e+02,1.13095238095238102005e+01,7.40740740740740655212e+00,2.41837968561064116102e+01,1.38888888888888892836e+01,8.40336134453781546938e+00,1.36473429951690814477e+01,9.11270983213429275338e+00,1.53753026634382568005e+01,1.28605769230769215739e+01,1.95652173913043476716e+01,1.67469879518072310987e+01,5.86826347305389273146e+00
3000,8388608,3.72258086531392223151e+02,1.08208955223880582963e+01,1.23287671232876707705e+01,8.62500000000000000000e+00,1.08750000000000000000e+01,8.33333333333333214910e+00,1.12345679012345680547e+01,1.47500000000000000000e+01,1.53558052434456921986e+01,1.86650185414091467351e+01,1.64179104477611943480e+01,1.65206508135168945728e+01,1.30272952853598020795e+01
3000,8388608,3.34144375988162380509e+02,1.59598214285714270488e+01,9.84340044742729247673e+00,7.46102449888641494624e+00,1.50224215246636756405e+01,1.13483146067415727742e+01,1.72645739910313906762e+01,9.31537598204264938317e+00,1.09131403118040086753e+01,1.15555555555555553582e+01,1.75946547884187083355e+01,1.82326621923937359782e+01,7.14285714285714234961e+00
3000,8388608,3.59816249037941304323e+02,2.08133971291866046727e+01,1.12845138055222093953e+01,9.80629539951573825363e+00,1.19076549210206561469e+01,9.66183574879227080601e+00,1.13908872901678659417e+01,1.70468187274909972473e+01,1.67070217917675556407e+01,1.03241296518607441612e+01,1.80048661800486620166e+01,1.42168674698795189926e+01,7.56302521008403338953e+00
3000,8388608,2.97972268912821334652e+02,1.94471865745310950047e+01,1.06893106893106892841e+01,1.27127127127127117490e+01,9.32539682539682601714e+00,2.18436873747494999520e+01,1.12437810945273639618e+01,8.42418235877106091891e+00,7.60760760760760845756e+00,1.59362549800796813315e+01,1.50000000000000000000e+01,1.22754491017964060262e+01,7.10710710710710635851e+00
3000,8388608,3.65896182812465895040e+02,8.27250608272506049445e+00,1.91747572815533970925e+01,8.59950859950859936021e+00,1.70761670761670742991e+01,1.64821648216482152804e+01,1.19512195121951219079e+01,1.00244498777506123588e+01,9.57055214723926361842e+00,1.24694376528117363279e+01,7.82396088019559865501e+00,1.64215686274509806708e+01,1.74876847290640391464e+01
3000,8388608,3.36620734019463611730e+02,9.90990990990990994192e+00,1.35135135135135140416e+01,1.34160090191657275227e+01,1.18834080717488781431e+01,8.88638920134983223420e+00,2.05417607223476288425e+01,8.68094701240135435683e+00,4.94938132733408320263e+00,1.16121758737316795873e+01,9.30493273542600896064e+00,1.67042889390519206927e+01,2.16949152542372871721e+01
3000,8388608,3.59696574357734789373e+02,1.33574007220216621761e+01,1.35654261704681857736e+01,1.82587666263603409789e+01,1.12048192771084345054e+01,1.31642512077294693285e+01,8.19277108433735001825e+00,1.65259348612786496346e+01,1.28174123337363976560e+01,2.18181818181818165669e+01,8.53365384615384670042e+00,9.98796630565583676287e+00,7.67386091127098257658e+00
3000,16777216,3.60351659977939277724e+02,1.16586538461538467004e+01,6.82634730538922163134e+00,1.62259615384615401013e+01,7.41626794258373145396e+00,1.35980746089049340242e+01,1.64053075995174921786e+01,1.48910411622276033228e+01,1.77458033573141484851e+01,1.93509615384615401013e+01,7.34055354993983044665e+00,6.79611650485436857849e+00,1.10843373493975896338e+01
3000,16777216,3.59745012734973443003e+02,1.19189511323003571874e+01,2.38323353293413155995e+01,1.20336943441636581298e+01,5.49581839904420554888e+00,1.42344497607655497973e+01,1.31325301204819275824e+01,1.26050420168067223159e+01,1.16306954436450844526e+01,1.26353790613718395264e+01,1.29341317365269468098e+01,9.49519230769230659917e+00,1.28915662650602413919e+01
3000,16777216,4.24032403990936472837e+02,1.05932203389830501550e+01,1.51343705799151351243e+01,7.32394366197183099843e+00,2.41867043847241873777e+01,1.39830508474576262756e+01,1.03399433427762037496e+01,1.33144475920679870029e+01,1.50997150997150999530e+01,1.18741058655221749518e+01,1.42857142857142846992e+01,1.42253521126760560378e+01,7.64872521246458969557e+00
3000,16777216,3.83401574553586385719e+02,9.43877551020408134264e+00,1.12820512820512828256e+01,1.47668393782383411406e+01,9.02061855670103085458e+00,8.45070422535211207560e+00,1.89258312020460373049e+01,1.00893997445721588235e+01,1.29321382842509606803e+01,8.80102040816326613992e+00,6.39386189258312054307e+00,1.10967741935483861226e+01,2.68292682926829293422e+01
