ProviderId,Operation,Throughput
1,read,965
1,read,927
1,read,882
1,read,876
1,read,862
1,write,555
1,write,503
1,write,532
1,write,471
1,write,574
2,read,868
2,read,917
2,read,793
2,read,774
2,read,965
2,write,553
2,write,561
2,write,597
2,write,582
2,write,626
3,read,897
3,read,783
3,read,857
3,read,658
3,read,796
3,write,593
3,write,558
3,write,314
3,write,532
3,write,531
4,read,917
4,read,813
4,read,754
4,read,672
4,read,861
4,write,575
4,write,475
4,write,313
4,write,450
4,write,368
5,read,695
5,read,701
5,read,636
5,read,747
5,read,605
5,write,374
5,write,461
5,write,440
5,write,431
5,write,411
6,read,769
6,read,827
6,read,824
6,read,779
6,read,732
6,write,528
6,write,399
6,write,488
6,write,590
6,write,519
7,read,750
7,read,706
7,read,732
7,read,792
7,read,762
7,write,468
7,write,421
7,write,525
7,write,366
8,read,823
8,read,919
8,read,831
8,read,976
8,read,670
8,write,491
8,write,231
8,write,228
8,write,433
8,write,393
9,read,664
9,read,662
9,read,628
9,read,676
9,read,648
9,write,276
9,write,426
9,write,264
9,write,277
9,write,375
9,write,506
9,write,308